Name,Trainer,Location,Date
North Orange Park  ,Unknown,,
Native Wildflower Planting,Unknown,,10/8/2023
Lovin' Cup Café Sign,Unknown,,10/8/2023
Espace Henri Lasson,Unknown,,
Waterbury Center Community Church Marker,Unknown,,9/19/2023
OSU Newark Wilson Memorial Table,Unknown,,9/11/2023
The Upper Room Assembly & Worship Center,Unknown,,9/9/2023
Stone Statue,Unknown,,9/9/2023
St. Mary Church,Unknown,,
American Legion Fishing Dock,Unknown,,9/9/2023
Pumpkin Show Park,Unknown,,
OSU Marching and Athletic Bands Mural,Unknown,,6/10/2023
Columbus Zoo and Aquarium Entrance,Unknown,,6/10/2023
Frog Prince Fountain,Unknown,,
Fenion Square Mural,Unknown,,
Slate Run Dental Little Free Library,Unknown,,6/3/2023
"US Post Office, Main St, Stoutsville",Unknown,,6/2/2023
La Cascada,Unknown,,
Cleveland Public Library Louis Stokes Wing,Unknown,,5/18/2023
Fish Circles,Unknown,,2/11/2023
Buddha Statue,Unknown,,
Giant Bowling Pin,Unknown,,
Convention Center Fountain,Unknown,,1/4/2023
Entrée du Parc du Complexe,Unknown,,12/27/2022
